movies,genre,release_year_start,release_year_end,rating,one-line,director,stars,votes,runtime,gross_in_dollars
Naboer,Horror,2005,2005,6.5,"
John has just been left by his girlfriend Ingrid. That day he allows himself to be seduced into a mystical and scary world, where it is impossible to separate truth from the lies",TBD,"Kristoffer Joner, 
Cecilie A. Mosli, 
Julia Schacht, 
Anna Bache-Wiig
",9475,75.0,1210000.0
Pieces of Her,Drama,2021,Ongoing,7.0,"
When a Saturday afternoon trip to the mall with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed.",TBD,"Jessica Barden, 
Nicholas Burton, 
Toni Collette, 
Winston Cooper
",1608,92.0,1360000.0
Ask the StoryBots,Animation,2016,2019,8.4,"
Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions.",TBD,"Judy Greer, 
Erin Fitzgerald, 
Fred Tatasciore, 
Jeff Gill
",750,24.0,10715000.0
Greatest Events of WWII in Colour,Documentary,2019,2019,8.7,"
A series of colorized archive footage of important events during World War II.",TBD,"Derek Jacobi, 
Geoffrey Wawro, 
James Holland, 
Saul David
",6940,50.0,120000.0
13th,Documentary,2016,2016,8.2,"
An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.",Ava DuVernay,"Melina Abdullah, 
Michelle Alexander, 
Cory Booker, 
Dolores Canales
",33496,100.0,120000.0
Afro Samurai,Animation,2007,2007,7.7,"
A Black samurai goes on a mission to avenge the wrongful death of his father in a futuristic feudal Japan.",TBD,"Samuel L. Jackson, 
Phil LaMarr, 
Yuri Lowenthal, 
Greg Eagles
",15625,26.0,10715000.0
Trash Truck,Animation,2020,Ongoing,8.4,"
Six-year old Hank and his best pal, a giant trash truck, explore the world around them on fantastical adventures with their animal friends.",TBD,"Henry Keane, 
Glen Keane, 
Lucas Neff, 
Brian Baumgartner
",340,24.0,10715000.0
After Porn Ends 3,Documentary,2018,2018,5.3,"
After Porn Ends 3 continues to explore whether a career as an adult performer is inherently damaging to the balance of a performer's life once retired.",Brittany Andrews,"Christy Canyon, 
Jenteal, 
Tera Patrick, 
Priya Rai
",1551,86.0,120000.0
Plan Coeur,Comedy,2018,Ongoing,7.2,"
Elsa, a Parisian, can not forget her ex. Her best friend secretly hires an escort boy to help her move on but the plan works a little too well .",TBD,"Joséphine Draï, 
Zita Hanrot, 
Sabrina Ouazani, 
Marc Ruchmann
",4246,27.0,855000.0
Furie,Drama,2019,2019,5.6,"
On their return from vacation, Paul and his family find their house occupied by squatters leading to a disturbing and unpredictable conflict.",Olivier Abbou,"Adama Niane, 
Stéphane Caillard, 
Paul Hamy, 
Eddy Leduc
",2413,97.0,1360000.0
Spycraft,Documentary,2021,2021,6.7,"
Non fiction series about the tools of the trade. Based upon the book by Henry R. Schlesinger.",TBD,"Keith Melton, 
Dylan Berry, 
Robert Bigman, 
Hamet Yousef
",1496,271.0,120000.0
Gantz,Animation,2004,2004,7.2,"
A group of people are resurrected from their deaths by a mysterious black ball called GANTZ to combat alien criminals hiding on Earth.",TBD,"Chris Ayres, 
Emily Carter-Essex, 
Shannon Emerick, 
John Gremillion
",7273,22.0,10715000.0
Lust Stories,Drama,2018,2018,6.4,"
Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.",TBD,"Radhika Apte, 
Bhumi Pednekar, 
Kiara Advani, 
Vicky Kaushal
",10169,120.0,1360000.0
American Factory,Documentary,2019,2019,7.4,"
In post-industrial Ohio, a Chinese billionaire opens a factory in an abandoned General Motors plant, hiring two thousand Americans. Early days of hope and optimism give way to setbacks as high-tech China clashes with working-class America.",TBD,"Junming 'Jimmy' Wang, 
Robert Allen, 
Sherrod Brown, 
Dave Burrows
",19411,110.0,120000.0
The Eddy,Drama,2020,2020,7.2,"
A French club owner deals with the everyday chaos of running a live music venue in the heart of Paris.",TBD,"André Holland, 
Joanna Kulig, 
Leïla Bekhti, 
Adil Dehbi
",2646,92.0,1360000.0
Blue Mountain State: The Rise of Thadland,Comedy,2016,2016,5.7,"
When the Dean of Blue Mountain State threatens to sell the Goat House, Alex throws Thad the party of his dreams in an effort to get him to buy it.",Lev L. Spiro,"Alan Ritchson, 
Darin Brooks, 
James Cade, 
Rob Ramsay
",15091,90.0,855000.0
Gleipnir,Animation,2020,2020,6.9,"
Shuichi Kagaya is a high school student with an ability to transform into a monster costume. But when he rescues a fellow classmate, she forces him into a partnership to hunt down other monsters.",TBD,"Brittney Karbowski, 
Ry McKeand, 
Kieran Flitton, 
Michelle Marie
",994,24.0,10715000.0
Acrimony,Thriller,2018,2018,5.8,"
A faithful wife, tired of standing by her devious husband, is enraged when it becomes clear she has been betrayed.",Tyler Perry,"Taraji P. Henson, 
Lyriq Bent, 
Crystle Stewart, 
Jazmyn Simon
",8263,120.0,43550000.0
Secrets of the Saqqara Tomb,Documentary,2020,2020,7.2,"
After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the astonishing find.",James Tovell,"Ahmed Zikrey Abdellhak, 
Ghareeb Ali Mohammed Abushousha, 
Nabil Eldaleel, 
Sabry Mohyeldin Farag
",5433,113.0,120000.0
Operation Varsity Blues: The College Admissions Scandal,Documentary,2021,2021,7.0,"
Reenactments drive this documentary investigating the mastermind behind a scam to sneak the kids of rich and famous families into top US universities.",Chris Smith,"Matthew Modine, 
Roger Rignack, 
Jillian Peterson, 
Courtney Rackley
",6745,100.0,120000.0
LBJ,Biography,2016,2016,6.5,"
Lyndon B. Johnson aligns himself with John F. Kennedy, rises to the Presidency, and deals with the civil rights struggles of the 1960s.",Rob Reiner,"Woody Harrelson, 
Michael Stahl-David, 
Richard Jenkins, 
Jennifer Jason Leigh
",6303,98.0,2470000.0
Zapped,Comedy,2014,2014,5.2,"
When Zoey's mom remarries, Zoey finds it hard adjusting to her new life - no longer the only kid in the family.",Peter DeLuise,"Zendaya, 
Chanelle Peloso, 
Spencer Boldman, 
Emilia McCarthy
",4517,102.0,855000.0
The Bag Man,Action,2014,2014,5.2,"
A criminal bides his time at a seedy motel, waiting for his boss after killing several men and making away with a mystery bag.",David Grovic,"John Cusack, 
Rebecca Da Costa, 
Robert De Niro, 
Crispin Glover
",16620,108.0,50000.0
The Princess Switch,Comedy,2018,2018,6.1,"
Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.",Mike Rohl,"Vanessa Hudgens, 
Sam Palladio, 
Nick Sagar, 
Alexa Adeosun
",23879,101.0,855000.0
Dragon's Dogma,Animation,2020,Ongoing,6.3,"
Ethan sets out to vanquish the Dragon that took his heart, but with every demon he battles, he loses more of his humanity.",TBD,"Greg Chun, 
Erica Mendez, 
David Lodge, 
Cristina Valenzuela
",2776,24.0,10715000.0
Viceroy's House,Biography,2017,2017,6.7,"
The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.",Gurinder Chadha,"Hugh Bonneville, 
Gillian Anderson, 
Manish Dayal, 
Huma Qureshi
",7296,106.0,1110000.0
The Letdown,Comedy,2017,Ongoing,7.5,"
Audrey is determined not to be defined by motherhood. In theory, this seems fairly easy. In practice, her career-focused husband, self-obsessed mother, and fancy-free best friend make it damn-near impossible.",TBD,"Alison Bell, 
Duncan Fellows, 
Leon Ford, 
Sacha Horler
",2908,30.0,855000.0
Family Business,Comedy,2019,Ongoing,7.4,"
Learning that cannabis will be legalized, Joseph, a failed entrepreneur, decides to transform, with the help of his family and friends, the kosher butcher shop of his father and open the first marijuana coffeeshop in France.",TBD,"Jonathan Cohen, 
Gérard Darmon, 
Julia Piaton, 
Liliane Rovère
",2711,77.0,855000.0
Ibeon Saengeun Cheoeumira,Comedy,2017,2017,8.1,"
Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee.",TBD,"Lee Min-ki, 
Jung So-Min, 
Esom, 
Byeong-eun Park
",3166,70.0,855000.0
Crip Camp,Documentary,2020,2020,7.7,"
Down the road from Woodstock, a revolution blossomed at a ramshackle summer camp for teenagers with disabilities, transforming their lives and igniting a landmark movement.",TBD,"James Lebrecht, 
Lionel Je'Woodyard, 
Joseph O'Conor, 
Ann Cupolo Freeman
",6466,106.0,120000.0
El marginal,Crime,2016,Ongoing,8.2,"
Pastor, an undercover cop sets on a mission to rescue the kidnapped daughter of a judge by infiltrating the prison where she's suspected to be at. Once inside he will have to learn to live by the prison's and the inmates' rules.",TBD,"Martina Gusman, 
Gerardo Romano, 
Claudio Rissi, 
Nicolás Furtado
",3022,60.0,675000.0
Dogs,Documentary,2018,Ongoing,8.1,"
Documentary series celebrating the deep emotional bonds between people and their beloved four-legged best friends.",TBD,"Beth, 
Carly, 
Corinne
",1151,50.0,120000.0
Advokaten,Crime,2018,Ongoing,7.0,"
When Frank Nordling learns the truth about his parents' death, his world unravels. As he finds out, they were murdered by one of the leaders in Copenhagen's criminal underworld, Thomas Waldman, who happens to be his firm's biggest client.",TBD,"Alexander Karim, 
Malin Buska, 
Thomas Bo Larsen, 
Nicolaj Kopernikus
",1393,45.0,675000.0
Ultraman,Animation,2019,Ongoing,6.9,"
Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil.",TBD,"Ryohei Kimura, 
Josh Hutcherson, 
Takuya Eguchi, 
Megumi Han
",1688,25.0,10715000.0
Pets United,Animation,2019,2019,3.8,"
A group of spoilt, selfish pets led by glamour cat Belle are stranded in their luxury hangout 'Pampered Pets,' when the machines that run Robo City, the hypermodern metropolis that they live in, go wild and take over.",Reinhard Klooss,"Patrick Roche, 
Natalie Dormer, 
Felix Auer, 
Jeff Burrell
",2200,89.0,10715000.0
Cat People,Documentary,2021,Ongoing,6.2,"
CAT PEOPLE tells the stories of some of the most remarkable and surprising ""cat people"" in the world, defying negative stereotypes while revealing the truth of what it means to love such fiercely independent creatures.",TBD,TBD,152,80.0,120000.0
Slumberland,Adventure,2022,2022,7.0,"
A young girl searches for her missing father in a mystical dreamland with the help of a large half-man/half-monster creature.",Francis Lawrence,"Jason Momoa, 
Kyle Chandler, 
Chris O'Dowd, 
Humberly González
",5595,90.0,44820000.0
Eastsiders,Drama,2012,Ongoing,6.9,"
EastSiders is a two-time Daytime Emmy nominated series created by Kit Williamson starring Williamson and Van Hansis as a couple experiencing life and relationships in Silver Lake.",TBD,"Kit Williamson, 
Van Hansis, 
Matthew McKelligon, 
John Halbach
",2460,115.0,1360000.0
Heaven Official's Blessing,Animation,2020,Ongoing,8.4,"
Eight hundred years ago, Xie Lian was the Crown Prince of the Xian Le kingdom. He was loved by his citizens and was considered the darling of the world. He ascended to the Heavens at a ...                See full summary »
",TBD,TBD,781,24.0,10715000.0
Barbie Dreamhouse Adventures,Animation,2018,Ongoing,6.8,"
Get to know Barbie and her BFFs -- including next-door neighbor Ken -- in this animated vlog of adventures filmed inside her family's new dreamhouse.",TBD,"America Young, 
Cassidy Naber, 
Kirsten Day, 
Cassandra Lee Morris
",414,22.0,10715000.0
Life's Too Short,Comedy,2011,2013,7.5,"
The show centers on Warwick Davis in his day-to-day life, complete with the frustrations he faces.",TBD,"Warwick Davis, 
Ricky Gervais, 
Stephen Merchant, 
Rosamund Hanson
",14912,30.0,855000.0
Zero Chill,Comedy,2021,Ongoing,5.7,"
Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy.",TBD,"Grace Beedie, 
Dakota Taylor, 
Jeremias Amoore, 
Anastázie Chocholatá
",1108,77.0,855000.0
Shin'ya shokudô: Tokyo Stories,Drama,2016,2019,8.4,"
An anthology of human relationship stories connected by the only open in the wee hours diner the characters frequent. Resolutions are often facilitated by the owner/chef.",TBD,"Kaoru Kobayashi, 
Mansaku Fuwa, 
Asako Kobayashi, 
Joe Odagiri
",3713,24.0,1360000.0
Une chance de trop,Drama,2015,Ongoing,7.2,"
A doctor is shot in the back in her home, her husband is murdered and her infant daughter kidnapped. Faced with inept police, who at times suspect her, she begins her own hunt for her baby and the culprits.",TBD,"Alexandra Lamy, 
Pascal Elbé, 
Lionel Abelanski, 
Hippolyte Girardot
",1198,52.0,1360000.0
El tiempo entre costuras,Adventure,2013,2014,8.3,"
Sira Quiroga is a young Spanish dressmaker engaged to a solid suitor when a suave typewriter salesman upends her life. Spain is being upended by a civil war and the new regime's growing ...                See full summary »
",TBD,"Adriana Ugarte, 
Mari Carmen Sánchez, 
Tristán Ulloa, 
Francesc Garrido
",3876,853.0,44820000.0
Penguin Town,Documentary,2021,Ongoing,8.0,"
In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals.",TBD,TBD,539,80.0,120000.0
The Defiant Ones,Documentary,2017,2017,8.5,"
""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.",TBD,"Bono, 
Dr. Dre, 
Jimmy Iovine, 
Janet Mormile
",12686,60.0,120000.0
