movies,genre,release_year_start,release_year_end,rating,one-line,director,stars,votes,runtime,gross_in_dollars
Fisheye,Drama,2020,2020,5.9,"
A woman is kidnapped and kept a prisoner. In captivity she learns she has been adopted and her family buried the uncomfortable truth. In order to break free she needs to solve a mystery from the past.",Michal Szczesniak,"Julia Kijowska, 
Wojciech Zielinski, 
Piotr Adamczyk, 
Andrzej Mastalerz
",61,97.0,1360000.0
I'll Sleep When I'm Dead,Documentary,2016,2016,6.6,"
I'll Sleep When I'm Dead, directed by Justin Krook, is a heart-pumping yet heart-wrenching documentary about one of the most eminent DJs working today: Steve Aoki. In the lead-up to Aoki's ...                See full summary »
",Justin Krook,"Devon Aoki, 
Benji Madden, 
Will.i.am, 
Travis Barker
",1319,79.0,120000.0
The Mars Generation,Documentary,2017,2017,6.4,"
Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.",Michael Barnett,"Elsa Shiju, 
Bob Behnken, 
Alayna Bidlack, 
Niko Blanks
",954,97.0,120000.0
La Grande Chaumière Violette,Drama,2016,2016,7.9,"
San Francisco, 1980. As 72-year-old Guo Xue Hu reminisces about his hometown, Dadaocheng, a young man walks towards him from afar. It is Xing Xiong, Yi An's son. He has brought a letter ...                See full summary »
",TBD,"Eli Shih, 
Chia-Yen Ko, 
Chiung-Hsuan Hsieh, 
Herb Hsu
",11,92.0,1360000.0
Deadly Runway,Drama,2018,2018,4.7,"
When a psychotic fashion photographer turns a nerdish high school student into a superstar model, her obsession with him drives her to homicidal madness.",Doug Campbell,"Joshua Hoffman, 
Elle Army, 
Linsey Godfrey, 
T.J. Hoban
",160,90.0,1360000.0
Tom Papa: You're Doing Great!,Comedy,2020,2020,7.2,"
Tom Papa takes on body image issues, social media, pets, Staten Island, the ""old days"" and more in a special from his home state of New Jersey.",Gregory Jacobs,"Paul C. Morrissey, 
Tom Papa
",719,60.0,855000.0
Borstal,Drama,2017,2017,4.6,"
Set in 1971, Kris is sentenced to two years in a rural Borstal.",Steven M. Smith,"Matthew Winters, 
Patrick Kilpatrick, 
Tony Fadil, 
Sonny Denham
",483,87.0,1360000.0
Ritoru wicchi akademia: Mahoujihikake no parêdo,Animation,2015,2015,7.3,"
When Akko and other troubled students at Luna Nova are assigned to manage the annual witch hunt parade, Akko wants to make the event more positive.",Yô Yoshinari,"Megumi Han, 
Fumiko Orikasa, 
Michiyo Murase, 
Yôko Hikasa
",1571,54.0,10715000.0
André & His Olive Tree,Documentary,2020,2020,6.8,"
André and His Olive Tree follows Chef André as he prepares to close his beloved Restaurant André on Valentine's Day of 2018, and return those coveted Michelin stars. This of course creates ...                See full summary »
",Josiah Ng,TBD,159,104.0,120000.0
Gwitsongmal,Drama,2017,2017,7.2,"
Shin Young Joo is a female detective, a section chief with charisma, although she spends most of her time with petty criminals. She has to pay the debt of her family and often speaks ...                See full summary »
",TBD,"Lee Bo-young, 
Sang-yoon Lee, 
Kim Kap-su, 
Park Se-young
",165,92.0,1360000.0
The Circle: Brazil,Reality-TV,2020,Ongoing,6.8,"
Be yourself or someone else? In this fun reality competition, online players try their best to flirt, bond and catfish their way to a R$ 300,000 prize.",TBD,"Giovanna Ewbank, 
Raphael Dumaresq, 
J.P. Gadelha, 
Marina Gregory
",677,43.0,1360000.0
Evicted,Comedy,1999,1999,3.8,"
24 hours in the lives of three L.A. youths dealing in drugs, drink and debauchery as they face eviction from their Hollywood apartment.",Michael Tierney,"Josh Blackhill, 
Magnús Jónsson, 
Michael Tierney, 
Terence Tierney
",80,99.0,855000.0
Seth Meyers: Lobby Baby,Comedy,2019,2019,7.5,"
SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.",Neal Brennan,"Jonathan Chacko, 
Seth Meyers
",2275,61.0,855000.0
Hiyama Kentarô no ninshin,Comedy,2022,Ongoing,7.0,"
The story takes place in a world where-in rare cases-men can conceive and give birth. Kentaro Hiyama, an elite ad man, suddenly finds out one day that he is pregnant. His partner, Aki Seto,...                See full summary »
",TBD,"Takumi Saitoh, 
Juri Ueno
",1425,77.0,855000.0
A Year in Space,Documentary,2015,Ongoing,7.4,"
Astronaut Scott Kelly's record-breaking year in space -- from launch to landing.",TBD,"Scott Kelly, 
Jeffrey Kluger, 
Mikhail Kornienko, 
Amiko Kauderer
",415,56.0,120000.0
Holiday Home Makeover with Mr. Christmas,Reality-TV,2020,Ongoing,5.7,"
Mr. Christmas, a veteran in the interior design industry with a healthy obsession with the holiday season, takes you behind the scenes as he puts his design expertise and vast Christmas collection to good use.",TBD,TBD,247,43.0,1360000.0
A Trash Truck Christmas,Animation,2020,2020,5.6,"
When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",Eddie Rosas,"Henry Keane, 
Glen Keane, 
Lucas Neff, 
Brian Baumgartner
",159,28.0,10715000.0
ID-0,Animation,2017,2017,6.1,"
In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure.",TBD,"Tony Azzolino, 
Reba Buhr, 
Christine Marie Cabanos, 
Douglas Cavum
",287,24.0,10715000.0
J Revolusi,Action,2017,2017,5.0,"
Jay Zulkarnain is an assault leader for Malaysia's elite and deadly special force known as the UTK (Unit Tindakhas), and he and his squad of operatives are every terrorist's worst nightmare...                See full summary »
",Zulkarnain Azhar,"Zul Ariffin, 
Nur Fazura, 
Farid Kamil, 
Izara Aishah
",172,105.0,33320000.0
Rimba Racer,Animation,2017,2017,8.2,"
RIMBA Racer is an action-packed animation series revolving around Tag, a talented rookie racer and newcomer to the prestigious RIMBA Grand Prix, a racing competition full of tough rivals, dangerous challenges and hidden agendas.",TBD,"Steven Tan, 
Iain McNally, 
Tikriti Shabudin, 
Azman Zulkiply
",67,22.0,10715000.0
Faroeste Caboclo,Crime,2013,2013,6.6,"
After doing time in jail for killing the cop who murdered his father, Joao heads for Brasilia where a distant cousin from Argentina helps him get a start as a carpenter's apprentice - as long as he sidelines as a drug dealer.",René Sampaio,"Fabrício Boliveira, 
Isis Valverde, 
Felipe Abib, 
Antonio Calloni
",2867,108.0,675000.0
GP506,Horror,2008,2008,5.9,"
(Korean with English subtitles) A squad of Korean soldiers is sent to investigate a guard post that overlooks the DMZ. Seemingly deserted at first, the squad eventually discovers mysterious...                See full summary »
",Su-chang Kong,"Ho-jin Chun, 
Hyun-jae Cho, 
Young-hoon Lee, 
Kyoo-Hwan Choi
",1720,121.0,1210000.0
Sab Jholmaal Hai,Animation,2017,Ongoing,6.1,"
The story revolves around the adventures of pets who live in a cozy house, owned by Miss Katkar. When the owner is away, the pets set off on fun and crazy adventures together. While they ...                See full summary »
",TBD,"Dolly Lopes, 
Mubeen Saudagar
",44,24.0,10715000.0
Joanna Lumley's Trans-Siberian Adventure,Documentary,2015,2015,8.0,"
Joanna Lumley takes a trip on the Trans-Siberian Express, a trip from Hong Kong to Moscow.",TBD,TBD,215,80.0,120000.0
Kankerlijers,Comedy,2014,2014,6.2,"
Four teenage friends who suffers from cancer, uproar the hospital so to be a healthy child again.",Lodewijk Crijns,"Massimo Pesik, 
Gijs Blom, 
Jasha Rudge, 
Vera van der Horst
",369,93.0,855000.0
A Haunting at Silver Falls 2,Horror,2019,2019,3.2,"
Several years after a deadly struggle with her serial killer aunt, Jordan works to escape her troubled history. But when her aunt's revenge-seeking specter surfaces to join forces with a ...                See full summary »
",Teo Konuralp,"Laura Flannery, 
James Cavlo, 
Harry Hains, 
Clemmie Dugdale
",271,79.0,1210000.0
Rigalhai,Comedy,2019,Ongoing,7.3,"
A story of two completely different lawyers. Go Tae Rim is a lawyer with a 100 percent success rate who knows how to play with the law, and Seo Jae In is a rookie lawyer who believes in the law and justice.",TBD,"Jin Goo, 
Eun-Su Seo, 
Bak Yoon, 
Jeong-an Chae
",72,60.0,855000.0
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,Comedy,2016,2016,7.5,"
Hawaiian - shirt enthusiast Gabriel ""Fluffy"" Iglesias finds laughs in racist gift baskets, Prius - driving cops and all - female taco trucks.",Manny Rodriguez,TBD,2366,87.0,855000.0
Isle of Dogs,Action,2010,2010,3.5,"
When London gangland boss Darius Deel discovers his new trophy-wife Nadia is having an affair, he hunts down her lover Riley and a deadly game begins.",Tammi Sutton,"Barbara Nedeljakova, 
Edward Hogg, 
Andrew Howard, 
Gwilym Lee
",534,90.0,33320000.0
Passione sinistra,Comedy,2013,2013,5.2,"
Add a Plot
",Marco Ponti,"Valentina Lodovini, 
Alessandro Preziosi, 
Vinicio Marchioni, 
Eva Riccobono
",507,90.0,855000.0
Sarah Silverman: A Speck of Dust,Comedy,2017,2017,6.8,"
In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments.",Liam Lynch,"Sarah Silverman, 
Troy
",3465,71.0,855000.0
Derren Brown: Miracle,Documentary,2016,2016,6.6,"
Illusionist Derren Brown reinvents the concept of ""faith healing"" through a series of stunts that debunk the confines of fear, pain and disbelief.",TBD,TBD,973,73.0,120000.0
When Jews Were Funny,Documentary,2013,2013,6.0,"
Surveys the history of Jewish comedy.",Alan Zweig,"Rodney Dangerfield, 
Marc Maron, 
Gilbert Gottfried, 
Howie Mandel
",475,89.0,120000.0
Piola,Drama,2019,2019,6.4,"
Two friends spend their time making rap music. One night they find a weapon, while a girl loses her dog. Although seemingly unrelated, these stories are intimately linked, telling the difficult passage from adolescence to adulthood.",Luis Pérez García,"Pascal Balart, 
Steevens Benjamin, 
Matías Burgos, 
Camila Celedón
",277,102.0,1360000.0
The Last Kids on Earth: Happy Apocalypse to You,Animation,2021,2021,7.2,"
Jack's determined to give June an awesome post-apocalyptic birthday. Can he pull it off? In this interactive special, the answer's up to you.",Steve Rolston,"Bruce Campbell, 
Charles Demers, 
Brian Drummond, 
Montse Hernandez
",27,27.0,10715000.0
Agent,Drama,2019,Ongoing,7.2,"
'The business end' of soccer as seen through the eyes of a fierce, mercurial football agent, wrestling with a fatal secret he buried six years ago, on the brink of breaking big or losing everything.",TBD,"Kay Sibiya, 
Sisanda Henna, 
Tarryn Wyngaard, 
Anthony Oseyemi
",73,92.0,1360000.0
Machhli Jal Ki Rani Hai,Horror,2014,2014,2.3,"
It's not just a matter of one spirit, it's a matter of multiple possessions in one body.",Debaloy Dey,"Swara Bhaskar, 
Reema Debnath, 
Saurabh Dubey, 
Hritu
",250,120.0,1210000.0
Dying God,Horror,2008,2008,2.8,"
With the help of local pimps head by Chance, a corrupt cop will have to face his own demons to put an end to a series of brutal rapes and murders of the most weirdest kind, but in the end may not be human.",Fabrice Lambot,"James Horan, 
Lance Henriksen, 
Erin Brown, 
Agathe de La Boulaye
",1027,125.0,1210000.0
Country Ever After,Music,2020,Ongoing,6.5,"
Country singer Coffey Anderson and his hip-hop dancer wife Criscilla as they raise their children and navigate their opposite country vs. city perspectives of life and parenting.",TBD,"Coffey Anderson, 
Criscilla Anderson, 
Elliot Schiff, 
Kelly Sweeney
",141,94.0,1360000.0
Omangwa Pyungyeon,Drama,2014,2015,7.0,"
Sends a chilling message about the nature of a successful high profile corruption prosecution, not limited to the South Korean justice system. Always follow the money.",TBD,"Choi Jin-Hyuk, 
Jin-hee Baek, 
Min-su Choi, 
Woo-sik Choi
",174,92.0,1360000.0
Héroes. Silencio y Rock & Roll,Documentary,2021,2021,7.5,"
""HEROES: SILENCIO Y ROCK AND ROLL"" tells the story of spanish rock band Héroes del Silencio since their very begining to their rise to stardom. It's a movie about friendship, music and ...                See full summary »
",Alexis Morante,"Pedro Andreu, 
Enrique Bunbury, 
Joaquín Cardiel, 
Juan Valdivia
",535,94.0,120000.0
Hurricane of Fun: The Making of Wet Hot,Documentary,2015,2015,7.0,"
In 2000, David Wain and Michael Showalter set out to make their first film Wet Hot American Summer. It was a low budget independent film and they cast their friends and a handful of unknown...                See full summary »
",Amy Rice,"Elizabeth Banks, 
Michael Ian Black, 
Bradley Cooper, 
Janeane Garofalo
",1475,64.0,120000.0
Lokillo Florez: Nothing is the same,Comedy,2021,2021,7.0,"
With his very peculiar style, Lokillo Florez speaks that due to the pandemic, everything we were used to has changed.",Julian Gaviria,TBD,1425,63.0,855000.0
Raghdah Mutawahheshah,Comedy,2018,2018,5.3,"
The film takes place in the context of a comedy about the young Ismail , who works in a beauty center, and accidentally discover that one of the directors of the search for a new face, ...                See full summary »
",Mahmood Karim,"Adel Abdulnabi, 
Adel Abdulsalam, 
Ahmad Abu-Zaid, 
Ihab Abul-Dahab
",425,90.0,855000.0
Ninja HattoriKun Returns,Animation,2013,Ongoing,8.3,"
Kenichi,Hattori starts attending school undercover,occasionally accompanied by his brother,Shinzo,Shishimaru the ninja dog and Kenichi's girlfriend, Yumeko. The gang is also threatened by the rival Koga ninja and his evil Shadow-cat.",TBD,"Junko Hori, 
Yûko Mita, 
Ken'ichi Ogata
",76,30.0,10715000.0
Chapo: el escape del siglo,Crime,2016,2016,3.2,"
Crime drama inspired by real events recounts the sensational prison escape of Mexican drug kingpin Joaquin Guzmân Loera, aka El Chapo.",Axel Uriegas,"Irineo Alvarez, 
José Sefami, 
Kristoff Raczynski, 
Thelma Alves
",319,86.0,675000.0
Beni Çok Sev,Drama,2021,2021,7.0,"
One day, Sedat, who works as a prison guard in Konya, is given the duty to take one of the prisoners, Musa, to his hometown. Musa does not intend to return until he finds out why his daughter was killed.",Mehmet Ada Öztekin,"Sarp Akkaya, 
Ercan Kesal, 
Ushan Çakir, 
Songül Öden
",1608,92.0,1360000.0
Taal is zeg maar echt mijn ding,Comedy,2018,2018,5.6,"
Anne wants to quit her job at the Glossy because she can't write the way she wants, but when she gets to work together with the handsome Rick she changes her mind.",Barbara Bredero,"Fockeline Ouwerkerk, 
Egbert Jan Weeber, 
Peter Faber, 
Tarikh Janssen
",453,90.0,855000.0
Moon Hotel Kabul,Drama,2018,2018,6.5,"
Ivan Semciuc (a journalist), is a charismatic man nonetheless guilty of cynicism and lack of compassion. A seemingly meaningless sexual encounter with a translator in a hotel room in Kabul ...                See full summary »
",Anca Damian,"Ilona Brezoianu, 
Florin Ghioca, 
Lia Marin, 
Alexandru Nagy
",157,100.0,1360000.0
Christina P: Mother Inferior,Comedy,2017,2017,6.3,"
Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.",Jay Karas,TBD,866,59.0,855000.0
Paul Hollywood's Big Continental Road Trip,Documentary,2017,Ongoing,7.5,"
Paul Hollywood who is an actor and a baker from Liverpool tries to find out how the most popular cars of the three big European countries express their nation's identities and the connections with their cultures.",TBD,"Alexis Dubus, 
Paul Hollywood
",187,80.0,120000.0
Dark Power,Thriller,2013,2013,3.4,"
When the mayor of a crime-ridden city and his opponent are assassinated, two FBI agents join forces to investigate the murder and become the targets of a powerful criminal conspiracy.",John Milton Branton,"Sean Patrick Flanery, 
Kristanna Loken, 
Chris Carmack, 
Richard Gleason
",389,98.0,43550000.0
Recall,Crime,2017,2017,2.9,"
When given the chance at a fresh-start, a grieving young man and his coked-up stepbrother must confront a local mafia kingpin and perhaps something even more dangerous - their past.",Michael James Regan,"Michael James Regan, 
Tommy James Murphy, 
Louis Di Bianco, 
Stefano DiMatteo
",251,73.0,675000.0
Patton Oswalt: Talking for Clapping,Documentary,2016,2016,6.8,"
Patton Oswalt takes the stage in San Francisco, where he talks about San Franciscans, the difficulties of being PC, fatherhood, his worst stand up experience, and the worlds most horrific Birthday Clown.",TBD,"Patton Oswalt, 
Boots Riley
",1887,65.0,120000.0
Revenge of the Electric Car,Documentary,2011,2011,7.2,"
Director Chris Paine takes his film crew behind the closed doors of Nissan, GM, and the Silicon Valley start-up Tesla Motors to chronicle the story of the global resurgence of electric cars.",Chris Paine,"Tim Robbins, 
Dan Neil, 
Danny DeVito, 
Ray Wert
",1808,90.0,150000.0
The Case Against 8,Documentary,2014,2014,7.3,"
A behind-the-scenes look inside the case to overturn California's ban on same-sex marriage. Shot over five years, the film follows the unlikely team that took the first federal marriage equality lawsuit to the U.S. Supreme Court.",TBD,"Ted Olson, 
Christopher D. Dusseault, 
Jeffrey J. Zarrillo, 
Paul T. Katami
",1055,109.0,120000.0
Chris D'Elia: No Pain,Comedy,2020,2020,5.9,"
Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.",Matt D'Elia,"Chris D'Elia, 
Elliot Schiff
",1666,55.0,855000.0
7 Days Out,Documentary,2018,Ongoing,6.8,"
A series that documents behind the scenes of some of the largest events in the world.",TBD,"Frank Bruni, 
Emmy, 
Kevin Flanery, 
Matthew Haag
",471,48.0,120000.0
I Love You from 38000 Feet,Drama,2016,2016,5.9,"
Aletta (Michelle Ziudith) meets Arga (Rizky Nazar) in Bali and they fall head over heels in love. They spent every moment together. When they return to Jakarta, Arga promises to find her and marry her. But, he never shows up anymore.",Asep Kusdinar,"Michelle Ziudith, 
Rizky Nazar, 
Tanta Ginting, 
Derby Romero
",142,102.0,1360000.0
Jenny Slate: Stage Fright,Comedy,2019,2019,5.9,"
Jenny Slate's debut stand up-comedy special blends with home videos from her childhood and interviews of her with her family.",Gillian Robespierre,TBD,1163,66.0,855000.0
Niyazi Gül Dörtnala,Action,2015,2015,4.5,"
Niyazi, a veterinarian, is on the lookout for a special elixir for animals. What he doesn't yet know is a mobster and his estranged love is also on the lookout for that elixir.",Hakan Algül,"Ata Demirer, 
Demet Akbag, 
Sebnem Bozoklu, 
Levent Ülgen
",3023,106.0,33320000.0
Rák Màt-nàk,Drama,2020,Ongoing,6.7,"
Despite their fathers' rivalry, two university students form a friendship at a boxing gym as they tackle family drama, romance and personal crises.",TBD,"Peemapol Panichtamrong, 
Phiravich Attachitsataporn, 
Jida Jidapa Siribanchawan, 
Ninna Yanin Opassathaworn
",21,45.0,1360000.0
Jeff Dunham's Very Special Christmas Special,Comedy,2008,2008,7.5,"
The multi-platinum selling comedian performs his first holiday-themed stand-up special with his friends.",Michael Simon,"Jeff Dunham, 
Brian Haner
",2916,85.0,855000.0
Gek van geluk,Comedy,2017,2017,5.4,"
In 'Gek van Geluk', Plien van Bennekom steps into the role of single mum Lena. Lena writes love songs but it stumped with writer's block due to the lack of romance in her life. That is ...                See full summary »
",Johan Nijenhuis,"Plien van Bennekom, 
Matteo van der Grijn, 
Carly Wijs, 
Henry van Loon
",341,106.0,855000.0
Cricket Fever: Mumbai Indians,Sport,2019,Ongoing,7.3,"
Following the 2018 season of the Mumbai Indians, one of the world's most popular Cricket clubs.",TBD,"Rohit Sharma, 
Jasprit Bumrah, 
Bhushan Kadam, 
Mandar Karane
",646,40.0,1360000.0
Being Elmo: A Puppeteer's Journey,Documentary,2011,2011,7.6,"
The Muppet Elmo is one of the most beloved characters among children across the globe. Meet the unlikely man behind the puppet - the heart and soul of Elmo - Kevin Clash.",TBD,"Kevin Clash, 
Whoopi Goldberg, 
Frank Oz, 
Bill Barretta
",6897,80.0,300000.0
Meet the Mormons,Documentary,2014,2014,6.8,"
Meet the Mormons examines the very diverse lives of six devout members of the Church of Jesus Christ of Latter-day Saints. Filmed on location and across the globe, Meet the Mormons takes ...                See full summary »
",Blair Treu,"Jermaine Sullivan, 
Ken Niumatalolo, 
Carolina Muñoz Marin, 
Bishnu Adhikari
",1973,78.0,5880000.0
Kevin James: Never Don't Give Up,Comedy,2018,2018,6.1,"
Kevin James is back with a new stand-up special dishing on parenting, allergies, his fans, and more.",Andy Fickman,TBD,1366,62.0,855000.0
My Fair Wedding,Reality-TV,2008,Ongoing,6.6,"
This season of My Fair Wedding gives viewers an up close look into David Tutera's world unlike anything we've seen on the show before. We're peeling back the veil and letting fans see the ...                See full summary »
",TBD,"David Tutera, 
Sarah Lafleur, 
Ashley Ready, 
Cynthia Pinot
",223,60.0,1360000.0
Antoine Griezmann: The Making of a Legend,Documentary,2019,2019,6.5,"
With heart and determination, Antoine Griezmann overcame his small stature to become one of the world's top soccer players and a World Cup champion.",TBD,TBD,1019,60.0,120000.0
Katt Williams: Great America,Comedy,2018,2018,6.1,"
Live performance of comedian Katt Williams riffing on the current state of politics, racial tensions and sex.",Leslie Small,TBD,895,60.0,855000.0
Living Undocumented,Documentary,2019,Ongoing,6.6,"
A look at the lives of undocumented immigrants living in the United States.",TBD,TBD,538,45.0,120000.0
Anytown,Crime,2009,2009,4.8,"
A middle-American teenage boy who is affected by 9/11, terrorism, and the war in Iraq becomes involved in an isolated high school altercation that escalates into a hate crime that shocks the entire nation.",David Rodriguez,"Matt O'Leary, 
Marshall Allman, 
Jonathan Halyalkar, 
Sam Murphy
",367,85.0,675000.0
VeggieTales in the City,Animation,2017,2017,6.0,"
Larry, Bob and all their Veggie friends share their city adventures.",TBD,"Mike Nawrocki, 
Rob Paulsen, 
Phil Vischer, 
Tress MacNeille
",97,24.0,10715000.0
Rich Kids,Drama,2018,2018,6.0,"
A group of troubled teens from a low-income community break into ""Los Ricos"", the local mansion with a border fence, and spend the day pretending to be rich in order to forget their difficult lives.",Laura Somers,"Gerardo M Velasquez, 
Justin Rodriguez, 
Michelle Magallon, 
Ulysses Montoya
",119,96.0,1360000.0
El club de los buenos infieles,Comedy,2017,2017,5.6,"
Four childhood friends, all married with no passion left, get together in a high school reunion dinner. Between laughs and drinks, they all agree that they love their wives but no longer ...                See full summary »
",Lluís Segura,"Fele Martínez, 
Hovik Keuchkerian, 
Albert Ribalta, 
Jordi Vilches
",608,90.0,855000.0
School Police,Drama,2021,Ongoing,6.4,"
Add a Plot
",TBD,"Tatsuya Fujiwara, 
Yôko Maki, 
Yûki Yamada
",8,92.0,1360000.0
Dale Gas,Action,2021,Ongoing,6.0,"
The Story of Kike Guerrero, a talented illegal street race car driver that fights to live an honest life, but is forced to return to Monterrey, a place where his family became powerful in the world of automobile crime.",TBD,"Jocelyn Chacón, 
Andrés Delgado, 
Geovanni Martínez, 
Iván Martínez
",6036,97.0,33320000.0
Mees Kees,Comedy,2012,2012,6.7,"
Class of Fun is the hilariously funny family film chronicling the misadventures of a young intern teacher at an elementary school.",Barbara Bredero,"Felix Osinga, 
Brent Thomassen, 
Sanne Wallis de Vries, 
Willem Voogd
",725,80.0,855000.0
One in a Billion,Documentary,2016,2016,6.7,"
In a country of 1.2 billion people and in a sport with billions of fans worldwide, there has yet to be a single Indian-born player drafted in the NBA. One in a Billion follows the global ...                See full summary »
",Roman Gackowski,"Dan Barto, 
Balbir Singh Bhamara, 
Satnam Singh Bhamara, 
Larry Bird
",511,69.0,120000.0
Soekarno: Indonesia Merdeka,Biography,2013,2013,7.0,"
This movie follows the life of Soekarno, the first president of the Republic of Indonesia, from his childhood until he managed to proclaimed Indonesian freedom with M. Hatta in 1945.",Hanung Bramantyo,"Ario Bayu, 
Muhammad Abbe, 
Moch. Achir, 
Norman R. Akyuwen
",452,137.0,7000000.0
Pacific Heat,Animation,2016,2017,5.8,"
A group of ragtag Australian agents working hard to recover their reputation in order to prevent having their team shut down.",TBD,"Santo Cilauro, 
Tom Gleisner, 
Rebecca Massey, 
Lucia Mastrantone
",1119,22.0,10715000.0
City of Joy,Documentary,2016,2016,7.5,"
This film follows the first class of students at a remarkable leadership center in the Eastern Democratic Republic of Congo, a region often referred to as ""the worst place in the world to ...                See full summary »
",Madeleine Gavin,"Christine Schuler-Deschryver, 
Denis Mukwege Mukengere, 
Eve Ensler, 
Jane Mukunilwa
",475,74.0,120000.0
Bad Papa,Drama,2018,Ongoing,7.4,"
Yoo Ji Cheol used to be a top boxer. After hitting rock bottom, he decides to gain control of his life again through mixed martial arts.",TBD,"Lee Da-wit, 
Jang Hyuk, 
Kim Jaekyung, 
Man-sik Jeong
",101,35.0,1360000.0
Departe de tine,Drama,2017,2017,5.5,"
A young couple struggles to keep their marriage afloat in a foreign country.",James Pillion,"Maia Morgenstern, 
Shuang Hu, 
Andi Vasluianu, 
Maria Dinulescu
",108,93.0,1360000.0
A Yellow Bird,Drama,2016,2016,5.5,"
Siva, a Singaporean-Indian man is released after in prison for contraband smuggling. Unable to find forgiveness form his mother, he begins a quest to locate his ex-wife and daughter. Just ...                See full summary »
",K Rajagopal,"Sivakumar Palakrishnan, 
Lu Huang, 
Seema Biswas, 
Udaya Soundari
",203,112.0,1360000.0
Hallo Bungalow,Comedy,2015,2015,4.9,"
In park ""De Lusthove"" there are three women who are leading a boring life. They decide to blackmail their boss so that they will get money to start a new life. Their boss however hires two killers. The women will have to fight to survive.",Anne de Clercq,"Huub Smit, 
Jennifer Hoffman, 
Eva van der Gucht, 
Lies Visschedijk
",289,91.0,855000.0
Jago: A Life Underwater,Documentary,2015,2015,7.5,"
An award-winning documentary about Rohani, an 80-year-old hunter who dives on a single breath descending to great depths for several minutes. Set against the spectacular backdrop of the Togian Islands of Indonesia.",TBD,TBD,1271,48.0,120000.0
Memory Love,Romance,2017,Ongoing,7.8,"
Jia-en loses both her memory and her boyfriend in a devastating car accident. After meeting a heart transplant recipient, Jia-en begins to remember her past.",TBD,"Mandy Wei, 
Andy Chen, 
Jolin Chien, 
Cliff Cho
",56,72.0,1360000.0
Fifty,Drama,2017,Ongoing,8.3,"
Juggling careers and families, four ambitious Nigerian women, are faced with the consequences of their choices as they approach fifty.",TBD,"Dakore Akande, 
Chris Attoh, 
Iretiola Doyle, 
Timini Egbuson
",32,92.0,1360000.0
Little Miss Sumo,Documentary,2018,2018,6.6,"
A female sumo wrestler fights against tradition and stigma to win her place in the ring.",Matt Kay,"Adam Bouhouhou, 
Hiyori Kon
",409,19.0,120000.0
Nada a Perder 2,Biography,2019,2019,3.3,"
Part 2 of Edir Macedo's self-financed biopic.",Alexandre Avancini,"Petrônio Gontijo, 
Day Mesquita, 
Beth Goulart, 
Dalton Vigh
",618,96.0,7000000.0
Neues vom Wixxer,Comedy,2007,2007,6.2,"
The Vexxer is back. The notorious criminal mastermind wants to murder seven people in one day. Inspectors Even Longer and Very Long will do everything in their power to stop the Vexxer.",TBD,"Oliver Kalkofe, 
Bastian Pastewka, 
Joachim Fuchsberger, 
Christiane Paul
",4657,98.0,855000.0
Chris Rock Total Blackout: The Tamborine Extended Cut,Comedy,2021,2021,7.1,"
Chris Rock takes the stage filled with searing observations on fatherhood, infidelity and politics.",Chris Rock,"Dave Chappelle, 
Jimmy Fallon, 
Questlove, 
Robin Quivers
",133,98.0,855000.0
Pompidou,Comedy,2015,2015,4.1,"
A down on his luck aristocrat is forced to live in a caravan with his butler, and his dog.",TBD,"Matt Lucas, 
Alex Macqueen, 
Andy Heath, 
Yvonne Stone
",791,77.0,855000.0
Abla Fahita: Drama Queen,Comedy,2021,Ongoing,6.6,"
Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",TBD,"Caro, 
Abla Fahita, 
Mena Adel, 
Nadia Hamzeh
",388,25.0,855000.0
BreadCrumbs,Horror,2011,2011,3.2,"
A group of Porn Filmmakers are systematically attacked by 2 children on the set of a remote shoot.",Mike Nichols,"Dan Shaked, 
Marianne Hagan, 
Jim J. Barnes, 
Zoe Sloane
",828,88.0,1210000.0
"Bloed, Zweet & Tranen",Biography,2015,2015,7.1,"
The turbulent life story of the most famous folk singer the Netherlands has ever known: André Hazes.",Diederick Koopal,"Martijn Fischer, 
Hadewych Minis, 
Fedja van Huêt, 
Matheu Hinzen
",1792,111.0,7000000.0
Patton Oswalt: I Love Everything,Comedy,2020,2020,6.4,"
Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.",Marcus Raboy,"Patton Oswalt, 
Bob Rubin
",1141,66.0,855000.0
